Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,2.9
2014,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,3.3
2015,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,5.2
2016,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,5.1
2017,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,4.6
2018,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,4.9
2019,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,5.4
2020,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,5.2
2021,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,4.9
2022,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,6.0
2023,A,0,_X,Death rate due to road traffic injuries,A,N,SH_STA_TRAF,,PER_100000_POP,,5.9
2013,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,315.0
2014,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,366.0
2015,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,351.0
2016,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,593.0
2017,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,549.0
2018,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,597.0
2019,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,673.0
2020,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,675.0
2021,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,663.0
2022,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,794.0
2023,A,0,_X,Number of deaths rate due to road traffic injuries,A,N,SH_STA_TRAFN,,NUMBER,,794.0
